action_ind,action_sub,action_sub_code,action_sub_data,env_ind,env_sub,env_sub_code,env_sub_data,DriverType.x,ExpertSuggestion,num_obs,rho,rsq,mod_coef,mod_p_value,cor_p_value,cor_sig,mod_sig
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Tourism (intensive and nature-based),Y,471,-0.037,0.117,0.036,0.1854,0.4188,FALSE,FALSE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Tourism (intensive and nature-based),Y,471,-0.196,0.144,-0.065,1e-4,0,TRUE,TRUE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Tourism (intensive and nature-based),Y,409,-0.076,0.131,0.069,0.2894,0.1244,FALSE,FALSE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Tourism (intensive and nature-based),Y,106,-0.149,0.203,-0.092,0.0034,0.1285,FALSE,TRUE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Tourism (intensive and nature-based),Y,106,-0.071,0.143,-0.05,0.2249,0.4725,FALSE,FALSE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Tourism (intensive and nature-based),Y,105,0.115,0.187,0.105,0.0677,0.2447,FALSE,FALSE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Tourism (intensive and nature-based),Y,93,-0.224,0.184,-0.209,0.013,0.0313,TRUE,TRUE
8.9.1,Tourism direct GDP as a proportion of total GDP (%),ST_GDP_ZS,63,15.5.1,Red List Index,ER_RSK_LSTI,193,Direct driver: Tourism (intensive and nature-based),Y,526,-0.005,0.08,-1.314,0,0.9172,FALSE,TRUE
9.a.1,"Total official flows for infrastructure, by recipient countries (millions of constant 2017 United States dollars)",DC_TOF_INFRAL,146,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,"Indirect-to-Direct Drivers: actions that directly affect nature: Infrastructure (dams, cities, roads)",NA,413,0.083,0.523,0.091,0.2567,0.0919,FALSE,FALSE
9.a.1,"Total official flows for infrastructure, by recipient countries (millions of constant 2017 United States dollars)",DC_TOF_INFRAL,146,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,"Indirect-to-Direct Drivers: actions that directly affect nature: Infrastructure (dams, cities, roads)",NA,454,-0.086,0.426,0.219,0.0497,0.0659,FALSE,TRUE
12.4.1,"Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals",SG_HAZ_CMRBASEL,182,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,166,-0.246,0.348,-0.089,0.437,0.0014,TRUE,FALSE
12.4.1,"Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals",SG_HAZ_CMRROTDAM,155,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,147,-0.197,0.19,-0.081,0.6415,0.0167,TRUE,FALSE
12.4.1,"Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals",SG_HAZ_CMRSTHOLM,178,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,165,-0.222,0.152,-0.222,0.1153,0.0042,TRUE,FALSE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,2132,-0.04,0.969,-0.042,0,0.0626,FALSE,TRUE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,2132,0.286,0.969,-0.006,0.2487,0,TRUE,FALSE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,2132,-0.038,0.969,-0.041,0,0.0803,FALSE,TRUE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,2132,0.287,0.969,-0.005,0.298,0,TRUE,FALSE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,2132,-0.024,0.915,-0.036,0,0.2663,FALSE,TRUE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,2132,0.124,0.914,-0.007,0.1462,0,TRUE,FALSE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,2132,-0.011,0.915,-0.035,0,0.6108,FALSE,TRUE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,2132,0.125,0.914,-0.006,0.1934,0,TRUE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,351,-0.057,0.77,0.23,0.0015,0.284,FALSE,TRUE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,351,0.11,0.764,0.04,0.2877,0.0399,TRUE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,351,-0.059,0.771,0.241,9e-4,0.2742,FALSE,TRUE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,351,0.11,0.764,0.044,0.2504,0.0398,TRUE,FALSE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,351,0.419,0.796,0.219,0,0,TRUE,TRUE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,351,-0.152,0.78,0.048,0.0199,0.0043,TRUE,TRUE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,351,0.412,0.797,0.224,0,0,TRUE,TRUE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,351,-0.152,0.78,0.05,0.0162,0.0043,TRUE,TRUE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,519,0.004,0.555,0.185,0.0593,0.9295,FALSE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,519,0.398,0.567,0.255,0,0,TRUE,TRUE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,519,0.003,0.554,0.181,0.0669,0.9442,FALSE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,519,0.396,0.567,0.254,0,0,TRUE,TRUE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,520,0.008,0.379,0.264,0.0015,0.8482,FALSE,TRUE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,520,0.196,0.418,0.325,0,0,TRUE,TRUE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,520,0.008,0.379,0.261,0.0017,0.857,FALSE,TRUE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,520,0.194,0.417,0.325,0,0,TRUE,TRUE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,483,0.006,0.167,0.097,1e-4,0.8925,FALSE,TRUE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,483,0.165,0.281,0.136,0,3e-4,TRUE,TRUE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,483,0.006,0.166,0.096,2e-4,0.8968,FALSE,TRUE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,483,0.164,0.281,0.136,0,3e-4,TRUE,TRUE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,442,-0.006,0.596,0.062,0.5072,0.8985,FALSE,FALSE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,442,0.649,0.621,0.324,0,0,TRUE,TRUE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,442,-0.007,0.596,0.063,0.5037,0.8868,FALSE,FALSE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,442,0.643,0.621,0.325,0,0,TRUE,TRUE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,6.6.1,Water body extent (permanent and maybe permanent) (% of total land area),EN_WBE_PMPP,193,Direct driver: Pollution,Y,413,0.003,0.054,0.087,0.1072,0.9568,FALSE,FALSE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,6.6.1,Water body extent (permanent and maybe permanent) (square kilometres),EN_WBE_PMPN,193,Direct driver: Pollution,Y,413,-0.025,0.052,0.049,0.1529,0.617,FALSE,FALSE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,6.6.1,Water body extent (permanent) (% of total land area),EN_WBE_PMPR,193,Direct driver: Pollution,Y,413,0.002,0.054,0.093,0.0878,0.9692,FALSE,FALSE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,6.6.1,Water body extent (permanent) (square kilometres),EN_WBE_PMNR,193,Direct driver: Pollution,Y,413,-0.025,0.053,0.052,0.1349,0.6103,FALSE,FALSE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,1630,0.072,0.964,0.034,0.2025,0.0037,TRUE,FALSE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,1630,-0.38,0.911,0.016,0.4943,0,TRUE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,386,0.182,0.746,0.568,0.0108,3e-4,TRUE,TRUE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,386,-0.457,0.817,0.163,0.1569,0,TRUE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,351,-0.055,0.569,-2.019,0,0.3024,FALSE,TRUE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,351,-0.079,0.384,-1.88,0,0.1375,FALSE,TRUE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,351,-0.052,0.221,-0.544,0,0.3324,FALSE,TRUE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,293,0.004,0.582,-1.266,6e-4,0.9513,FALSE,TRUE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,11.6.2,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",EN_ATM_PM25,162,Direct driver: Pollution,NA,278,0.062,0.089,0.362,0.097,0.3069,FALSE,FALSE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,705,0.44,0.964,0.022,0.023,0,TRUE,TRUE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,705,0.004,0.964,-0.017,0.2076,0.92,FALSE,FALSE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,705,0.078,0.915,0.017,0.037,0.0379,TRUE,TRUE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,705,-0.021,0.915,-0.017,0.1348,0.5837,FALSE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,98,0.213,0.793,-0.013,0.8741,0.0356,TRUE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,98,0.038,0.793,0.013,0.9267,0.7116,FALSE,FALSE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,98,-0.237,0.749,-0.004,0.9324,0.0189,TRUE,FALSE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,98,0.05,0.749,0.032,0.7036,0.6259,FALSE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,133,0.094,0.536,0.116,0.4302,0.2818,FALSE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,133,-0.132,0.535,-0.123,0.5437,0.1305,FALSE,FALSE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,133,-0.017,0.331,0.211,0.0911,0.842,FALSE,FALSE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,133,-0.141,0.315,-0.036,0.837,0.105,FALSE,FALSE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,129,-0.024,0.152,0.092,0.0203,0.7905,FALSE,TRUE
12.4.2,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",EN_HAZ_GENGDP,77,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,129,-0.168,0.14,-0.106,0.0544,0.0567,FALSE,FALSE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,111,0.177,0.589,0.475,0.0046,0.0633,FALSE,TRUE
12.4.2,Hazardous waste treated or disposed (Tonnes),EN_HAZ_TRTDISV,65,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,111,-0.18,0.558,0.187,0.4302,0.0585,FALSE,FALSE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,15.1.1,Forest area (thousands of hectares),AG_LND_FRSTN,193,Direct driver: Pollution,NA,103,0.028,0.018,0.053,0.5417,0.7794,FALSE,FALSE
12.4.2,"Hazardous waste treated or disposed, rate (%)",EN_HAZ_TRTDISR,60,15.1.1,Forest area as a proportion of total land area (%),AG_LND_FRST,193,Direct driver: Pollution,NA,103,0.102,0.026,0.126,0.2843,0.3038,FALSE,FALSE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Pollution,NA,527,0.066,0.974,-0.009,0.6411,0.1299,FALSE,FALSE
12.4.2,Electronic waste generated (Tonnes),EN_EWT_GENV,177,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Pollution,NA,584,-0.099,0.959,0.011,0.705,0.0162,TRUE,FALSE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Pollution,NA,527,0.248,0.896,-0.016,0.3141,0,TRUE,FALSE
12.4.2,"Electronic waste generated, per capita (Kg)",EN_EWT_GENPCAP,177,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Pollution,NA,584,-0.043,0.916,-0.001,0.9543,0.2959,FALSE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Pollution,NA,98,0.09,0.847,0.057,0.5957,0.3781,FALSE,FALSE
12.4.2,Electronic waste recycling (Tonnes),EN_EWT_RCYV,70,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Pollution,NA,90,-0.111,0.811,-0.233,0.2504,0.2987,FALSE,FALSE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Pollution,NA,98,0.206,0.634,0.065,0.4267,0.0417,TRUE,FALSE
12.4.2,"Electronic waste recycling, per capita (Kg)",EN_EWT_RCYPCAP,70,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Pollution,NA,90,-0.056,0.799,-0.073,0.5278,0.6013,FALSE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Pollution,NA,111,-0.043,0.644,0.002,0.9896,0.6522,FALSE,FALSE
12.4.2,Hazardous waste generated (Tonnes),EN_HAZ_GENV,78,15.2.1,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,193,Direct driver: Pollution,NA,110,-0.14,0.555,-0.912,0.0802,0.1439,FALSE,FALSE
12.4.2,"Hazardous waste generated, per capita (Kg)",EN_HAZ_PCAP,78,15.2.1,Forest area net change rate (%),AG_LND_FRSTCHG,193,Direct driver: Pollution,NA,111,-0.049,0.284,-0.019,0.8955,0.6119,FALSE,FALSE
